Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Alexander Heights,Alexander Heights  Australia,"418,800","(-31.8271578, 115.865815)",13.931221458020039
Byford,Byford  Australia,"416,300","(-32.2160061, 116.01467)",32.6238021658365
Aveley,Aveley  Australia,"415,800","(-31.787069, 115.9862261)",21.884709028034095
Belmont,Belmont  Australia,"415,700","(-31.9545783, 115.94262889096386)",7.769203659553193
Dayton,Dayton  Australia,"408,200","(-31.8557737, 115.9740664)",15.198085291017016
Beckenham,Beckenham  Australia,"407,500","(-32.0215834, 115.9648379)",12.473633702340555
Whitby,Whitby  Australia,"406,200","(-32.2846227, 116.0138094)",39.54743917430525
Cloverdale,Cloverdale  Australia,"403,200","(-31.962035, 115.9446953)",8.028321638157328
Upper Swan,Upper Swan  Australia,"401,300","(-31.7659017, 116.0295461)",26.174087068087267
Mount Nasura,Mount Nasura  Australia,"401,000","(-32.1378332, 116.0276574)",25.89764590121821
Viveash,Viveash  Australia,"400,300","(-31.8780623, 115.9971455)",15.34911330670779
Wellard,Wellard  Australia,"400,200","(-32.2660784, 115.8481091)",34.76839866750474
Forrestfield,Forrestfield  Australia,"399,000","(-31.9858122, 116.0075629)",14.379316754455564
High Wycombe,High Wycombe  Australia,"393,700","(-31.9434617, 116.0056139)",13.760200899884815
Eden Hill,Eden Hill  Australia,"391,300","(-31.8910455, 115.943861)",10.437462405330823
Nollamara,Nollamara  Australia,"389,000","(-31.8804371, 115.843598)",8.171736330953799
Bentley,Bentley  Australia,"388,600","(-31.9998417, 115.9188941)",7.6022985326365
Marangaroo,Marangaroo  Australia,"388,000","(-31.8291339, 115.8375096)",13.874194180675227
Rockingham,Rockingham  Australia,"383,300","(-32.2851899, 115.7426524)",38.50841720993323
South Lake,South Lake  Australia,"382,000","(-32.1100323, 115.8455255)",17.50191908850535
Swan View,Swan View  Australia,"381,600","(-31.8800199, 116.0471182)",19.40532454815166
Brabham,Brabham  Australia,"377,700","(-31.8283583, 115.9764153)",17.61916560560637
Thornlie,Thornlie  Australia,"377,400","(-32.0549489, 115.9649793)",15.033924446691346
Kiara,Kiara  Australia,"373,800","(-31.8816321, 115.9384491)",10.793538680608675
Glendalough,Glendalough  Australia,"372,100","(-31.91822, 115.824)",5.15044827235542
Hilbert,Hilbert  Australia,"363,600","(-32.1719378, 115.9784985)",26.742262580351753
Clarkson,Clarkson  Australia,"363,000","(-31.6907588, 115.7373803)",31.29723673463607
Butler,Butler  Australia,"362,400","(-31.6451205, 115.705196)",37.14179110076903
Banksia Grove,Banksia Grove  Australia,"361,500","(-31.6954676, 115.8034438)",29.030829069116663
Ellenbrook,Ellenbrook  Australia,"360,400","(-31.782739, 115.9665616)",21.353988316773034
Bertram,Bertram  Australia,"359,600","(-32.2452415, 115.844506)",32.473181881956265
Cannington,Cannington  Australia,"353,200","(-32.0200315, 115.9429164)",10.789858492139249
Beechboro,Beechboro  Australia,"350,300","(-31.8695832, 115.9374824)",11.74788921802778
Mirrabooka,Mirrabooka  Australia,"347,400","(-31.8629562, 115.8642381)",9.958948074940707
Westminster,Westminster  Australia,"346,600","(-31.8670748, 115.838167)",9.727606600046792
Kenwick,Kenwick  Australia,"342,700","(-32.033881, 115.9847507)",14.796029295181244
Middle Swan,Middle Swan  Australia,"330,900","(-31.8599389, 116.0180672)",18.111228568602673
Langford,Langford  Australia,"313,000","(-32.0419571, 115.9400329)",12.427579759927644
Maddington,Maddington  Australia,"307,200","(-32.04934, 115.9898)",16.25202825074108
Kelmscott,Kelmscott  Australia,"307,100","(-32.1164024, 116.0163062)",23.369104224291586
Midvale,Midvale  Australia,"305,700","(-31.8863833, 116.0268514)",17.36880396529245
Seville Grove,Seville Grove  Australia,"305,600","(-32.1360525, 115.9915227)",23.801229778296385
Merriwa,Merriwa  Australia,"300,800","(-31.6656152, 115.7125031)",34.78143434288675
Midland,Midland  Australia,"294,800","(-31.8890099, 116.002453)",15.171682941858338
Bellevue,Bellevue  Australia,"293,400","(-31.9015253, 116.0288929)",16.90763578896668
Balga,Balga  Australia,"292,700","(-31.8568272, 115.8388865)",10.82662176091943
Koondoola,Koondoola  Australia,"288,800","(-31.8424891, 115.8638624)",12.226268048949473
Girrawheen,Girrawheen  Australia,"284,500","(-31.8418128, 115.8402759)",12.444708224689323
Gosnells,Gosnells  Australia,"283,200","(-32.0735275, 116.0009727)",18.859162664107927
Leda,Leda  Australia,"283,200","(-32.2645855, 115.8022344)",35.017429040923055
Cooloongup,Cooloongup  Australia,"279,800","(-32.2966958, 115.7685636)",39.117733474662906
Stratton,Stratton  Australia,"262,100","(-31.867155, 116.040477)",19.489952131671096
Orelia,Orelia  Australia,"260,800","(-32.2328272, 115.8233058)",31.259114922487946
Lockridge,Lockridge  Australia,"256,100","(-31.881459, 115.9499826)",11.57934340037827
Parmelia,Parmelia  Australia,"251,100","(-32.2466315, 115.8264989)",32.74974296337397
Calista,Calista  Australia,"237,000","(-32.2471289, 115.8074271)",33.02927184538955
Armadale,Armadale  Australia,"235,000","(-32.152266, 116.0147457)",26.49340783024313
Camillo,Camillo  Australia,"228,400","(-32.112701, 116.0031528)",22.27912593577692
Koongamia,Koongamia  Australia,"228,200","(-31.9059442, 116.0416149)",17.896966093953036
Medina,Medina  Australia,"198,300","(-32.2339888, 115.8063972)",31.60538452524273
