Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
North Warrandyte,North Warrandyte  Australia,"1,048,800","(-37.7258538, 145.2155463)",24.303502614054185
Heidelberg,Heidelberg  Australia,"1,048,400","(-37.90111725, 145.13398519170184)",17.86111674366665
Lower Plenty,Lower Plenty  Australia,"1,047,900","(-37.7388437, 145.116224)",15.868938655764037
Newport,Newport  Australia,"1,047,300","(-37.8427411, 144.8835623)",7.689554758724304
Mentone,Mentone  Australia,"1,042,400","(-37.9820188, 145.0651242)",20.671658532926344
Flemington,Flemington  Australia,"1,041,900","(-37.7867587, 144.9193668)",4.915753359572757
Mordialloc,Mordialloc  Australia,"1,038,800","(-38.0067174, 145.0875658)",24.00439452809379
Yan Yean,Yan Yean  Australia,"1,030,000","(-37.53030995, 145.07747339093754)",33.08544467864105
Cheltenham,Cheltenham  Australia,"1,028,300","(-37.9670081, 145.0546951)",18.773180320577453
Eltham North,Eltham North  Australia,"1,026,400","(-37.6978921, 145.1417807)",20.35829571244801
Chadstone,Chadstone  Australia,"1,023,300","(-37.8822799, 145.1001365)",14.22705465225714
Rosanna,Rosanna  Australia,"1,022,300","(-37.7428013, 145.0661769)",12.049606302085936
Vermont,Vermont  Australia,"1,011,300","(-37.8384616, 145.1993471)",20.96703591401479
Yarraville,Yarraville  Australia,"1,008,000","(-37.8158955, 144.8899037)",6.453164541022197
Huntingdale,Huntingdale  Australia,"1,007,000","(-37.9110043, 145.1023673)",16.29292661714791
Brunswick West,Brunswick West  Australia,"1,002,800","(-37.7633334, 144.9425563)",5.9322152517277225
Seddon,Seddon  Australia,"997,300","(-37.8090562, 144.8956199)",5.974952070175122
Wantirna South,Wantirna South  Australia,"991,800","(-37.8737902, 145.2217475)",23.701331933887293
Warranwood,Warranwood  Australia,"990,400","(-37.7725114, 145.250157)",25.698494042441023
Niddrie,Niddrie  Australia,"987,200","(-37.73718965, 144.86462905846437)",12.183858806065183
Nunawading,Nunawading  Australia,"985,100","(-37.8204496, 145.1752107)",18.683772285402853
Humevale,Humevale  Australia,"971,600","(-37.50613, 145.19217407888803)",39.71908117129583
Oakleigh East,Oakleigh East  Australia,"968,500","(-37.9039215, 145.1153403)",16.687559538230595
Kallista,Kallista  Australia,"967,300","(-37.8858076, 145.3729123)",36.927662609739116
Coburg,Coburg  Australia,"965,600","(-37.7449752, 144.9643314)",7.68606576601759
Preston,Preston  Australia,"959,600","(-37.721400349999996, 145.0099893570872)",11.09750779423807
Maribyrnong,Maribyrnong  Australia,"953,300","(-37.7695144, 144.8902049)",8.118601663048869
Spotswood,Spotswood  Australia,"952,800","(-37.830631, 144.885925)",7.039936372936357
Pascoe Vale South,Pascoe Vale South  Australia,"951,000","(-37.7434265, 144.9384767)",8.152628533326963
Eltham,Eltham  Australia,"949,200","(-37.717870000000005, 145.15669012917934)",20.12780986220152
Oakleigh South,Oakleigh South  Australia,"945,700","(-37.9248257, 145.0921745)",16.720654172654726
Edithvale,Edithvale  Australia,"945,100","(-38.0380738, 145.1083923)",27.93586351701924
Williamstown North,Williamstown North  Australia,"939,000","(-37.8526453, 144.8688784)",9.331555902826883
Macleod,Macleod  Australia,"936,800","(-37.7261787, 145.0691029)",13.513339533866557
Forest Hill,Forest Hill  Australia,"934,100","(-37.85299, 145.1694935589885)",18.66642994711412
Travancore,Travancore  Australia,"930,400","(-37.7807553, 144.935503)",4.441621944028559
