Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Wattle Glen,"(-37.6699452, 145.1916231)",25.727301109247627,"808,400",Cafe,Korean Restaurant,Gym,Flower Shop,Breakfast Spot,Supermarket,Fish & Chips Shop,Garden Center,Thai Restaurant,Greek Restaurant
Sassafras,"(-37.8678412, 145.3568039)",35.156591762583176,"804,700",Park,Shopping Mall,Gym,Hockey Arena,Thai Restaurant,Fish & Chips Shop,Wine Shop,Japanese Restaurant,Track Stadium,Indian Restaurant
Southbank,"(-37.8253618, 144.9640203)",1.2392417721504336,"802,600",Cafe,Supermarket,Basketball Court,Bakery,Pub,Burger Joint,Chinese Restaurant,Thai Restaurant,Fish & Chips Shop,Farm
Attwood,"(-37.6670148, 144.884862)",17.7360463681133,"801,400",Health & Beauty Service,Grocery Store,Cafe,Fast Food Restaurant,Zoo Exhibit,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
Oak Park,"(-37.7179979, 144.9215308)",11.291983809924862,"800,300",Cafe,Grocery Store,Italian Restaurant,Supermarket,Burger Joint,Greek Restaurant,Coffee Shop,Clothing Store,Japanese Restaurant,Sports Bar
Airport West,"(-37.7222576, 144.8834942)",12.387480267767428,"799,000",Furniture / Home Store,Malay Restaurant,Sandwich Place,Park,Sports Club,Gym,Bowling Alley,Gym / Fitness Center,Train Station,Liquor Store
Greensborough,"(-37.7040276, 145.1082164336504)",17.690705768933228,"794,500",Fast Food Restaurant,Convenience Store,Wine Shop,Grocery Store,Shopping Mall,Gym / Fitness Center,Pharmacy,Pizza Place,Gym,Dance Studio
Coburg North,"(-37.7243394, 144.9675896)",9.983400215793967,"792,300",Cafe,Beach,Frozen Yogurt Shop,Australian Restaurant,Supermarket,Fish & Chips Shop,Mediterranean Restaurant,Park,Grocery Store,Lounge
Mount Dandenong,"(-37.8291766, 145.3538837)",34.441097507878034,"792,200",Scenic Lookout,Restaurant,Hotel,Coffee Shop,Event Service,Park,Mountain,Resort,Hotel Bar,Farm
Carrum,"(-38.0783895, 145.1232748)",32.52435770909939,"791,200",Pizza Place,Indian Chinese Restaurant,Kids Store,Seafood Restaurant,Thai Restaurant,Grocery Store,Bakery,Train Station,Sandwich Place,Salon / Barbershop
Belgrave South,"(-37.9424023, 145.3573383)",37.48384820154809,"789,300",Supermarket,Cafe,Convenience Store,Pizza Place,Spa,Fish & Chips Shop,Bus Station,Fast Food Restaurant,Shopping Mall,Park
Hurstbridge,"(-37.63946, 145.1921774)",27.99715983696135,"788,800",Cafe,Bakery,Korean Restaurant,Park,Chinese Restaurant,Thai Restaurant,Breakfast Spot,Pharmacy,Dumpling Restaurant,Asian Restaurant
Diamond Creek,"(-37.6733326, 145.1586943)",23.270579096784463,"784,700",Fast Food Restaurant,Electronics Store,Pizza Place,Department Store,Grocery Store,Supermarket,Gym / Fitness Center,Train Station,Gym,Donut Shop
Keysborough,"(-38.0053607, 145.1674069)",27.797919814981817,"780,300",Coffee Shop,Zoo Exhibit,Fish Market,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Chirnside Park,"(-37.7385835, 145.3143181)",32.055161388946374,"779,400",Home Service,Convenience Store,Middle Eastern Restaurant,Park,Zoo Exhibit,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Sandhurst,"(-38.0819428, 145.21039)",36.813724418223536,"778,700",Health & Beauty Service,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Pascoe Vale,"(-37.7308099, 144.9282189)",9.756038580605773,"777,100",Cafe,Gas Station,Park,Grocery Store,Seafood Restaurant,Beer Garden,Thai Restaurant,Pizza Place,Sandwich Place,Food
Sunshine,"(-37.788095299999995, 144.83260045)",11.858247075061795,"775,400",Cafe,Gym / Fitness Center,Shopping Mall,Smoke Shop,Pizza Place,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
Knoxfield,"(-37.8897731, 145.2496342)",26.57027957145885,"773,900",Gym,Australian Restaurant,Thai Restaurant,Bakery,Train,Train Station,Smoke Shop,Sandwich Place,Chinese Restaurant,Pharmacy
Watsonia,"(-37.7110022, 145.083635)",15.618320560672805,"773,500",Sandwich Place,Boutique,Badminton Court,Fast Food Restaurant,Gym,Food Court,Food Service,Event Service,Event Space,Football Stadium
Heidelberg Heights,"(-37.7451831, 145.0529194)",11.010690628129359,"773,300",Cafe,Italian Restaurant,Pub,Chinese Restaurant,Middle Eastern Restaurant,Hotel,Sandwich Place,Bar,Grocery Store,Juice Bar
Greenvale,"(-37.6347658, 144.8814617)",21.179881550402765,"769,300",Bus Station,Kids Store,Zoo Exhibit,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Cairnlea,"(-37.7593157, 144.7878098)",16.604573956075445,"762,600",Cafe,Grocery Store,Bakery,Train Station,Pizza Place,Seafood Restaurant,Thai Restaurant,Park,Donut Shop,Greek Restaurant
Chelsea Heights,"(-38.0408403, 145.1341354)",29.30325845106379,"760,000",Cafe,Convenience Store,Athletics & Sports,Malay Restaurant,Chinese Restaurant,Sandwich Place,Bowling Green,Food,Event Space,Food Truck
Keilor Lodge,"(-37.6984134, 144.7998157)",19.297795709819273,"755,900",Furniture / Home Store,Shopping Mall,Electronics Store,Cafe,Farmers Market,Malay Restaurant,Boutique,Sporting Goods Shop,Fast Food Restaurant,Steakhouse
Montrose,"(-37.8106247, 145.3421513)",33.37463812044312,"750,900",Grocery Store,Sports Club,Cafe,Fast Food Restaurant,Zoo Exhibit,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market
Taylors Lakes,"(-37.698633, 144.7863077)",20.18573563120244,"750,900",Grocery Store,Gym / Fitness Center,Asian Restaurant,Gym,Thai Restaurant,Locksmith,Bakery,Paintball Field,Sandwich Place,Pizza Place
Bundoora,"(-37.697305650000004, 145.06625435609772)",15.840429215604722,"749,200",Gym,Gym / Fitness Center,Grocery Store,Fried Chicken Joint,Pizza Place,Cafe,Field,Event Service,Event Space,Falafel Restaurant
Croydon South,"(-37.8150135, 145.2736124)",27.33635780845523,"744,900",Asian Restaurant,Furniture / Home Store,Golf Course,Skating Rink,Cafe,Fast Food Restaurant,Pizza Place,Bus Station,Shopping Mall,Sporting Goods Shop
Reservoir,"(-37.7168415, 145.0069944)",11.477331804117973,"744,700",Cafe,Fast Food Restaurant,Train Station,Indian Restaurant,Pizza Place,Burger Joint,Sushi Restaurant,Tapas Restaurant,Greek Restaurant,Bar
Springvale,"(-37.9491329, 145.1531926)",22.443879825419213,"743,900",Convenience Store,Pub,Fishing Spot,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Croydon,"(-37.7954483, 145.2804735)",28.021588319103213,"740,300",Arts & Crafts Store,Basketball Court,Park,Burger Joint,Australian Restaurant,Fishing Spot,Farm,Farmers Market,Fast Food Restaurant,Field
Watsonia North,"(-37.696046, 145.084977)",16.949026860633605,"736,300",Cafe,Indian Restaurant,Fast Food Restaurant,Grocery Store,Gift Shop,Bakery,Liquor Store,Train Station,Gym / Fitness Center,Thai Restaurant
Toolern Vale,"(-37.6074215, 144.5941995)",39.81519195423487,"735,600",Zoo Exhibit,Park,Light Rail Station,Dog Run,Sculpture Garden,Hotel,Cafe,Garden,Outdoors & Recreation,Coffee Shop
Maidstone,"(-37.7819337, 144.8741606)",8.618689880596326,"732,200",Cafe,Liquor Store,Fast Food Restaurant,Pizza Place,Pub,Electronics Store,Supermarket,Sports Club,Bakery,Train Station
Upwey,"(-37.9036086, 145.3313506)",33.885952191634885,"730,300",Grocery Store,Light Rail Station,Shopping Mall,Cafe,Ice Cream Shop,Convenience Store,Japanese Restaurant,Pub,Park,Thai Restaurant
Gowanbrae,"(-37.7027183, 144.8975976)",13.657670861241172,"725,800",Supermarket,Indian Restaurant,Pizza Place,Pub,Cafe,Zoo Exhibit,Filipino Restaurant,Event Space,Falafel Restaurant,Farm
Keilor Park,"(-37.7187247, 144.8501721)",14.541285962232735,"722,600",Playground,Park,Home Service,Zoo Exhibit,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Belgrave Heights,"(-37.9266116, 145.3525247)",36.45950204870944,"719,500",Cafe,Beach,Park,Fast Food Restaurant,Gym,Lake,Building,Boxing Gym,Go Kart Track,Baseball Field
Ferntree Gully,"(-37.8815788, 145.2951489)",30.16083294404252,"719,400",Cafe,Bar,Japanese Restaurant,Coffee Shop,Italian Restaurant,Thai Restaurant,Market,Asian Restaurant,Fish & Chips Shop,Nightclub
Hadfield,"(-37.7101582, 144.9502764)",11.605424072775747,"718,600",Bakery,Pizza Place,Cafe,Restaurant,Train Station,Pet Store,Fast Food Restaurant,Food & Drink Shop,Food Truck,Grocery Store
Lilydale,"(-37.7556696, 145.3475477)",34.47791835094499,"709,200",Bakery,Pizza Place,Cafe,Restaurant,Train Station,Pet Store,Fast Food Restaurant,Food & Drink Shop,Food Truck,Grocery Store
Sunshine North,"(-37.7639467, 144.8361969)",12.498067656211107,"695,200",Cafe,Bar,Light Rail Station,Pub,Hotel,Italian Restaurant,Fast Food Restaurant,Middle Eastern Restaurant,Japanese Restaurant,Department Store
Williams Landing,"(-37.8700305, 144.74696725497074)",20.012396777490363,"694,600",Gym,Pizza Place,Fast Food Restaurant,Theater,Zoo Exhibit,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
Coldstream,"(-37.70355, 145.36900333333335)",37.81314012658825,"693,400",Bakery,Pizza Place,Cafe,Sandwich Place,Food & Drink Shop,Cosmetics Shop,Restaurant,Italian Restaurant,Supermarket,Event Service
Kingsbury,"(-37.715569, 145.0355601)",12.672018443695768,"691,500",Cafe,Pub,Breakfast Spot,Thai Restaurant,Vietnamese Restaurant,Sandwich Place,Bakery,Greek Restaurant,Burger Joint,Fast Food Restaurant
Mooroolbark,"(-37.7847785, 145.312599)",30.94834908296641,"690,000",Supermarket,Fast Food Restaurant,Coffee Shop,Japanese Restaurant,Cafe,Gastropub,Gym / Fitness Center,Department Store,Restaurant,Shopping Mall
Boronia,"(-37.860645, 145.2848446)",28.7815953182504,"688,700",Performing Arts Venue,Shopping Mall,Track,Food & Drink Shop,Grocery Store,Coffee Shop,Bar,Fast Food Restaurant,Ethiopian Restaurant,Event Service
Bayswater North,"(-37.8269747, 145.2836847)",28.256333586604434,"682,300",Asian Restaurant,Coffee Shop,Bakery,Grocery Store,Shopping Mall,Japanese Restaurant,Food Court,Field,Event Service,Food Truck
Tecoma,"(-37.90806535, 145.34294768017955)",35.006084568674176,"679,800",Cafe,Bar,Japanese Restaurant,Sushi Restaurant,Indian Restaurant,Coffee Shop,Train Station,Lounge,Garden,Fish & Chips Shop
Tremont,"(-37.8788598, 145.3157699)",31.853501774260586,"676,000",Health & Beauty Service,Train Station,Cafe,Athletics & Sports,Zoo Exhibit,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
Seaford,"(-38.1039807, 145.1282346)",35.282746824179284,"675,600",Cafe,Grocery Store,Sandwich Place,Italian Restaurant,Pizza Place,Park,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant
Springvale South,"(-37.9708611, 145.1478692)",23.79617850470453,"674,600",Cafe,Supermarket,Shopping Mall,Liquor Store,Donut Shop,Asian Restaurant,Coffee Shop,Department Store,Pharmacy,Sushi Restaurant
Glenroy,"(-37.7046061, 144.9173406970003)",12.818486451123386,"671,400",Fast Food Restaurant,Supermarket,Cafe,Arts & Crafts Store,Bakery,Pharmacy,Pizza Place,Shopping Mall,Dessert Shop,Sandwich Place
Mill Park,"(-37.643871250000004, 145.06492155517242)",20.9271732469598,"670,500",Resort,Neighborhood,Cafe,Plaza,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Braybrook,"(-37.7867076, 144.8548451)",10.016115663711703,"668,600",Golf Course,Women's Store,Park,Zoo Exhibit,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Kilsyth,"(-37.8037844, 145.3134593)",30.86891692381853,"668,300",Cafe,Beach,Fast Food Restaurant,Sports Bar,Farmers Market,Park,Garden Center,Thai Restaurant,Coffee Shop,Liquor Store
Narre Warren South,"(-38.04913355, 145.30398976081932)",39.72020039325318,"664,000",Cafe,Tea Room,Toy / Game Store,Garden,Coffee Shop,Zoo Exhibit,Fish & Chips Shop,Falafel Restaurant,Farm,Farmers Market
Heidelberg West,"(-37.7382431, 145.0433922)",11.003134719893243,"659,900",Zoo,Flea Market,Home Service,Diner,Skating Rink,Food & Drink Shop,Field,Ethiopian Restaurant,Event Service,Event Space
Upper Ferntree Gully,"(-37.8926042, 145.3076559)",31.54165410979661,"659,000",Cafe,Pharmacy,Fish & Chips Shop,Park,Pub,Australian Restaurant,Supermarket,Spanish Restaurant,Beach,Thai Restaurant
Caroline Springs,"(-37.7345608, 144.7371975)",21.7825374678828,"656,900",Bar,Gym,Fish & Chips Shop,Beach,Train Station,Thai Restaurant,Pizza Place,Soccer Field,Diner,Lake
Hillside,"(-37.6904862, 144.7417358)",23.86162016771863,"655,000",Cafe,Coffee Shop,Grocery Store,Park,Shopping Mall,Pizza Place,Pub,Vietnamese Restaurant,Food Truck,Miscellaneous Shop
Derrimut,"(-37.7987978, 144.776051)",16.56604439482406,"654,700",Gym / Fitness Center,Construction & Landscaping,Train Station,Grocery Store,Park,Field,Event Service,Event Space,Falafel Restaurant,Farm
Fawkner,"(-37.7146727, 144.9605203)",11.051139331508114,"654,300",Event Space,Waterfall,Trail,Park,Cafe,Forest,Food,Flower Shop,Event Service,Food Truck
Selby,"(-37.9187608, 145.3784097)",38.33657844043354,"654,200",Rental Car Location,Grocery Store,Food & Drink Shop,Gas Station,Dessert Shop,Zoo Exhibit,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm
Point Cook,"(-37.9064862, 144.7533059)",21.116622694352,"652,700",Restaurant,Bakery,Hockey Field,Grocery Store,Mexican Restaurant,Park,Pizza Place,Indian Restaurant,Arcade,Arepa Restaurant
Keilor Downs,"(-37.7205762, 144.8047614)",17.401317984127555,"648,500",Cafe,Pub,Coffee Shop,Burger Joint,Bar,Gastropub,Asian Restaurant,Hotel,Bookstore,Pet Store
Gladstone Park,"(-37.6898311, 144.8944658)",15.074884040639114,"644,700",Electronics Store,Liquor Store,Moving Target,Baby Store,Supermarket,Cricket Ground,Flea Market,Farm,Farmers Market,Fast Food Restaurant
Endeavour Hills,"(-37.9702665, 145.2563443)",31.065338283797864,"641,900",Cafe,Italian Restaurant,Coffee Shop,Japanese Restaurant,Hotel,Pizza Place,Bakery,Thai Restaurant,Dessert Shop,Park
Noble Park North,"(-37.9512702, 145.1908377)",25.15105326937737,"641,100",Cafe,Bar,Hotel,Japanese Restaurant,Italian Restaurant,Cocktail Bar,Park,Coffee Shop,Middle Eastern Restaurant,Plaza
Werribee South,"(-37.93536, 144.70225176163723)",26.603333282627112,"639,000",Bakery,Cafe,Boat or Ferry,Brewery,Train,Train Station,Science Museum,Paper / Office Supplies Store,Planetarium,Park
Belgrave,"(-37.91104835, 145.35369147537594)",36.006564436646144,"637,400",Vietnamese Restaurant,Chinese Restaurant,Bakery,Grocery Store,Shopping Mall,Coffee Shop,Fast Food Restaurant,Xinjiang Restaurant,Burger Joint,Cambodian Restaurant
Sunshine West,"(-37.7983442, 144.8110919)",13.507040674020027,"631,300",Gas Station,Asian Restaurant,Burger Joint,Vietnamese Restaurant,Athletics & Sports,Fast Food Restaurant,Food & Drink Shop,Pub,Park,Buddhist Temple
Dandenong North,"(-37.9558319, 145.2143234)",27.11529114654365,"630,400",Bakery,Asian Restaurant,Grocery Store,Portuguese Restaurant,Vietnamese Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Altona Meadows,"(-37.8814419, 144.7845482)",17.40122401186301,"630,000",Cafe,Bar,Pizza Place,Vegetarian / Vegan Restaurant,Australian Restaurant,Bakery,Burger Joint,Breakfast Spot,Italian Restaurant,Pub
Doreen,"(-37.5963874, 145.1428928)",28.90906377154319,"629,600",Cafe,Coffee Shop,Pizza Place,Breakfast Spot,Convenience Store,Supermarket,Bar,Light Rail Station,Park,Chinese Restaurant
Albion,"(-37.777232, 144.82438959720713)",12.893325264737403,"629,500",Bar,Cafe,Australian Restaurant,Gym,Pizza Place,Light Rail Station,Italian Restaurant,Pub,Theater,Music Venue
South Morang,"(-37.6316767, 145.0836353)",22.87567018513852,"629,100",Convenience Store,Cupcake Shop,Park,Cafe,Fast Food Restaurant,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market
Noble Park,"(-37.9663213, 145.1758464)",25.199830114994374,"625,800",Cafe,Gym,Australian Restaurant,Fish & Chips Shop,Thai Restaurant,Park,Train Station,Pharmacy,Breakfast Spot,Pub
Beveridge,"(-37.4712651, 144.9745663)",38.07751228951447,"623,000",Department Store,Fast Food Restaurant,Food Court,Grocery Store,Baseball Field,Gym,Paper / Office Supplies Store,Light Rail Station,Auto Dealership,Sandwich Place
Burnside Heights,"(-37.7324225, 144.7555804)",20.417688774246464,"620,600",Construction & Landscaping,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
St Albans,"(-37.7445766, 144.79970234688483)",16.343279031635205,"614,400",Vietnamese Restaurant,Electronics Store,Cafe,Chinese Restaurant,Restaurant,Supermarket,Movie Theater,Bus Station,Fast Food Restaurant,Gift Shop
Ardeer,"(-37.7829314, 144.8014916)",14.655882898639856,"613,900",Convenience Store,Grocery Store,Bakery,Furniture / Home Store,Pizza Place,Gas Station,Automotive Shop,Latin American Restaurant,Field,Event Space
Lynbrook,"(-38.0558639, 145.2561128)",37.18374330093531,"612,400",Fast Food Restaurant,Supermarket,Wine Bar,Convenience Store,Beer Garden,Cafe,Grocery Store,Shopping Mall,Deli / Bodega,Falafel Restaurant
Lalor,"(-37.662922, 145.003955)",17.173188477056232,"607,800",Cafe,Burger Joint,Peking Duck Restaurant,Garden Center,Bakery,Train Station,Pizza Place,Fish & Chips Shop,Australian Restaurant,Park
Tullamarine,"(-37.704658, 144.8717732)",14.584962415347107,"603,300",Playground,Bus Stop,Zoo Exhibit,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Thomastown,"(-37.632210650000005, 144.9924349066651)",20.365371884946672,"597,100",Fast Food Restaurant,Cafe,Shopping Mall,Supermarket,Department Store,Greek Restaurant,Electronics Store,Liquor Store,Big Box Store,Burger Joint
Narre Warren,"(-38.0276567, 145.3036255)",38.175957270050134,"595,600",Cafe,Indonesian Restaurant,Asian Restaurant,Movie Theater,Bookstore,Train Station,Fried Chicken Joint,Italian Restaurant,Dance Studio,Flower Shop
Kealba,"(-37.7371074, 144.8282988)",14.64289364105583,"588,900",Chinese Restaurant,Kebab Restaurant,Park,Cafe,Zoo Exhibit,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
Mernda,"(-37.6027435, 145.1008348)",26.425356658858593,"588,000",Cafe,Pizza Place,Fish & Chips Shop,Football Stadium,Pub,Liquor Store,Taco Place,Middle Eastern Restaurant,Gas Station,Greek Restaurant
Kalorama,"(-37.8194174, 145.372162)",36.017351907948594,"587,500",Gym / Fitness Center,Park,Cafe,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Dandenong,"(-37.985605, 145.2121610759906)",29.008376852346434,"584,300",Gun Range,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Eynesbury,"(-37.7908381, 144.5561657)",35.93680773978129,"577,700",Cafe,Bar,Pizza Place,Light Rail Station,Bakery,Park,Pet Store,Italian Restaurant,Coffee Shop,Food & Drink Shop
Westmeadows,"(-37.6768765, 144.8939017)",16.420462754007016,"577,000",Construction & Landscaping,Indian Restaurant,Fast Food Restaurant,Gift Shop,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Epping,"(-37.652246250000005, 145.03106034704467)",18.947614767423172,"575,100",Cafe,Breakfast Spot,Bakery,Train Station,Light Rail Station,Boutique,Sushi Restaurant,Coffee Shop,Australian Restaurant,Rock Club
Sunbury,"(-37.553405, 144.71347879310343)",36.37340941233797,"569,900",Cafe,Pizza Place,Pub,Grocery Store,Malay Restaurant,Vietnamese Restaurant,Park,Light Rail Station,Train Station,Bakery
Hallam,"(-38.0178749, 145.2701904)",35.21171754466751,"567,300",Trail,Mountain,Fish Market,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Truganina,"(-37.8089015, 144.721139)",21.319810354929547,"563,400",Shopping Mall,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Deer Park,"(-37.7686602, 144.7713077)",17.63885081807761,"561,900",Convenience Store,Portuguese Restaurant,Food Truck,Noodle House,Cafe,Fast Food Restaurant,Chinese Restaurant,Bakery,Department Store,Fishing Spot
Wollert,"(-37.5939889, 145.0337333)",25.22318498423397,"559,000",Cafe,Indian Restaurant,Shopping Mall,Food & Drink Shop,Fast Food Restaurant,Trail,National Park,Pub,Cupcake Shop,Event Space
Tarneit,"(-37.83833625, 144.70385573568504)",22.985437971734,"551,000",Supermarket,Asian Restaurant,Convenience Store,Grocery Store,Train Station,Chinese Restaurant,Bakery,Dance Studio,Fish Market,Event Space
Hoppers Crossing,"(-37.88325, 144.7011019)",24.303871811602203,"550,900",Pizza Place,Athletics & Sports,Cosmetics Shop,Gas Station,Park,Thai Restaurant,Electronics Store,Convenience Store,Indian Restaurant,Field
Roxburgh Park,"(-37.6376918, 144.9355238)",19.743735101784523,"549,300",Pizza Place,Supermarket,Chinese Restaurant,Food & Drink Shop,Basketball Court,Malay Restaurant,Thai Restaurant,Liquor Store,Light Rail Station,Pet Store
Jacana,"(-37.6951482, 144.9158281)",13.858358812661654,"545,000",Pizza Place,Coffee Shop,Sandwich Place,Cafe,Pharmacy,Other Nightlife,South Indian Restaurant,Fast Food Restaurant,Shopping Mall,Arcade
Kalkallo,"(-37.5309523, 144.9496539)",31.462271233016647,"544,900",Convenience Store,Chinese Restaurant,Fried Chicken Joint,Gas Station,Fast Food Restaurant,Park,Grocery Store,Pizza Place,Pet Store,Dessert Shop
Carrum Downs,"(-38.0927904, 145.1758001)",36.12925708513449,"542,600",Farm,Cafe,Restaurant,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant
Laverton,"(-37.8637978, 144.7723486)",17.67461227269203,"542,600",Restaurant,Italian Restaurant,Cafe,Wedding Hall,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Werribee,"(-37.9078479, 144.64209691445848)",30.10365976349421,"536,600",Asian Restaurant,Zoo Exhibit,Fish Market,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Eumemmerring,"(-37.9985273, 145.2469497)",32.270447539575514,"529,700",Soccer Field,Golf Course,Cafe,Portuguese Restaurant,Zoo Exhibit,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
Delahey,"(-37.7198138, 144.7773228)",19.439685329170914,"528,900",Grocery Store,Australian Restaurant,Bakery,Train Station,Thrift / Vintage Store,Fish & Chips Shop,Cafe,Shopping Mall,Sandwich Place,Ethiopian Restaurant
Craigieburn,"(-37.6022837, 144.9430805)",23.589296544933,"525,200",Construction & Landscaping,Grocery Store,Video Game Store,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Campbellfield,"(-37.6641298, 144.959583)",16.661461794146568,"514,000",Construction & Landscaping,Movie Theater,Fishing Spot,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Diggers Rest,"(-37.6275995, 144.7200075)",29.809215215934838,"512,600",Football Stadium,Pool,Sports Bar,Gas Station,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Rockbank,"(-37.7312767, 144.6607316)",28.19032309792125,"510,700",Fruit & Vegetable Store,Fishing Spot,Home Service,Zoo Exhibit,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Albanvale,"(-37.7460824, 144.7685623)",18.7369211493764,"509,700",Cafe,Indian Restaurant,Park,Pub,Grocery Store,Gym,Liquor Store,Train Station,Bakery,Gym / Fitness Center
Hampton Park,"(-38.0367368, 145.2590312)",35.87069032002033,"508,400",Asian Restaurant,Pier,Flea Market,Scenic Lookout,Zoo Exhibit,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Broadmeadows,"(-37.682938750000005, 144.91957535173304)",15.068686683986865,"497,900",Pharmacy,Italian Restaurant,Pizza Place,Chinese Restaurant,Hotel,Park,Fish & Chips Shop,Miscellaneous Shop,Grocery Store,Farmers Market
Meadow Heights,"(-37.6511668, 144.9185521)",18.519525984531835,"481,100",Pizza Place,Cafe,Supermarket,Shopping Mall,Indian Restaurant,Pub,Portuguese Restaurant,Sporting Goods Shop,Art Gallery,Fish & Chips Shop
Wyndham Vale,"(-37.8722432, 144.6084185)",31.881384459978328,"480,900",Restaurant,Pet Store,Supermarket,Bowling Alley,Cafe,Shopping Mall,Bar,Bakery,Train Station,Gym / Fitness Center
Doveton,"(-37.9887542, 145.2385975)",31.018196900805965,"471,600",Cafe,Train Station,Italian Restaurant,Beach,Supermarket,Convenience Store,Diner,Park,Bakery,Botanical Garden
Kurunjang,"(-37.6626777, 144.5914403)",36.82968547785472,"464,600",Indoor Play Area,Hotel,Cafe,Soccer Field,Train,Athletics & Sports,Pet Store,Dance Studio,Event Service,Falafel Restaurant
Melton West,"(-37.6798651, 144.5528895)",39.112736196302684,"454,100",Health & Beauty Service,Furniture / Home Store,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Coolaroo,"(-37.6612736, 144.9260115)",17.288420761743595,"444,100",Shopping Mall,Boutique,Park,Tennis Court,Zoo Exhibit,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market
Frankston North,"(-38.1228524, 145.1609788)",38.414789777111565,"430,800",Liquor Store,Supermarket,Athletics & Sports,Train Station,Furniture / Home Store,Pizza Place,Cafe,Fast Food Restaurant,Shopping Mall,Event Service
Melton South,"(-37.7060279, 144.5717723)",36.51897918062835,"422,600",Fast Food Restaurant,Locksmith,Park,Zoo Exhibit,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Field
Melton,"(-37.7068658, 144.5454255199667)",38.69008118249874,"416,400",Cafe,Zoo Exhibit,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Stony Creek,"(-37.805577, 144.8629013)",8.880658490569031,"330,000",Cafe,Park,Coffee Shop,Food Truck,Grocery Store,Thai Restaurant,Pizza Place,Skate Park,Gym,Bar
