Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Balaclava,"(-37.86992145, 144.99342786739248)",6.732319394064995,"1,217,500",Cafe,Electronics Store,Furniture / Home Store,Fish Market,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Harkaway,"(-38.0002695, 145.3416887)",39.173961457008296,"1,208,000",Vietnamese Restaurant,Restaurant,Fish & Chips Shop,Falafel Restaurant,Chinese Restaurant,Pizza Place,Middle Eastern Restaurant,Cafe,Malay Restaurant,Deli / Bodega
Caulfield East,"(-37.881276, 145.0420847)",10.180929348152587,"1,205,000",Fast Food Restaurant,Shopping Mall,Grocery Store,Pawn Shop,Video Store,Gift Shop,Zoo Exhibit,Event Service,Event Space,Falafel Restaurant
Doncaster,"(-37.7848299, 145.1238431)",14.52250299035236,"1,202,000",Golf Course,Construction & Landscaping,Business Service,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Warrandyte,"(-37.7585968, 145.22762818933018)",24.100137312437724,"1,201,200",Cafe,Grocery Store,Shopping Mall,Fast Food Restaurant,Other Great Outdoors,Basketball Court,Liquor Store,Soccer Field,Lawyer,Gym
Glen Huntly,"(-37.8923791, 145.0413689)",11.074161571439557,"1,191,600",Park,Cafe,Zoo Exhibit,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Box Hill North,"(-37.8056831, 145.1295748)",14.684774161987553,"1,190,800",Convenience Store,Thai Restaurant,Gym / Fitness Center,Golf Course,Pizza Place,Fast Food Restaurant,Sandwich Place,Flea Market,Fishing Spot,Food Service
Strathmore,"(-37.74361, 144.9273552)",8.447880061325629,"1,190,800",Cafe,Coffee Shop,Italian Restaurant,Restaurant,Hotel,Park,Bar,Dessert Shop,Supermarket,Juice Bar
Wheelers Hill,"(-37.9103266, 145.1895175)",22.59525600610231,"1,187,400",Department Store,Cafe,Movie Theater,Electronics Store,Dessert Shop,Supermarket,Coffee Shop,Clothing Store,Sandwich Place,Tea Room
Clayton,"(-37.9173212, 145.1304242)",18.64345569017611,"1,186,000",Asian Restaurant,Japanese Restaurant,Indian Restaurant,Noodle House,Gas Station,General Entertainment,Fast Food Restaurant,Malay Restaurant,Bakery,Chinese Restaurant
West Melbourne,"(-37.81044755, 144.92042979350134)",3.7859098846277615,"1,184,600",Trail,Market,Event Service,Snack Place,Scenic Lookout,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farm
Doncaster East,"(-37.7788744, 145.1638815)",18.10839264957575,"1,183,400",Construction & Landscaping,Liquor Store,Home Service,Business Service,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Vermont South,"(-37.854386, 145.1878065)",20.271843458882348,"1,181,700",Grocery Store,Shopping Mall,Pizza Place,Farm,Zoo Exhibit,Egyptian Restaurant,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant
Thornbury,"(-37.7550276, 144.9986139)",7.2741607821558425,"1,180,700",Cafe,Park,Train Station,Indian Restaurant,Coffee Shop,Steakhouse,Bus Station,Candy Store,Thai Restaurant,Grocery Store
Bentleigh East,"(-37.9220201, 145.0665529)",15.031117217526743,"1,169,200",Cafe,Thai Restaurant,Bar,Vietnamese Restaurant,Coffee Shop,Japanese Restaurant,Cricket Ground,Wine Bar,Pub,Australian Restaurant
Waterways,"(-38.0147783, 145.1305166)",26.6857784812963,"1,161,200",Flower Shop,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Highett,"(-37.9484438, 145.04188)",16.429213981181952,"1,160,500",Beach,Cafe,Asian Restaurant,Bakery,Harbor / Marina,Train Station,Thai Restaurant,Pizza Place,Grocery Store,Burger Joint
Essendon West,"(-37.75464, 144.88344171862508)",9.645773576619083,"1,156,400",Cafe,Sushi Restaurant,Fish & Chips Shop,Burger Joint,Bar,Middle Eastern Restaurant,Indian Restaurant,Greek Restaurant,Japanese Restaurant,Malay Restaurant
Hampton East,"(-37.9385409, 145.0306726)",15.023194165966382,"1,154,700",Cafe,Restaurant,Thai Restaurant,Indian Restaurant,Department Store,Park,Sandwich Place,Farmers Market,Fast Food Restaurant,Train Station
Templestowe Lower,"(-37.7638749, 145.1122762)",14.273739689583476,"1,152,000",Soccer Field,Park,Home Service,Zoo Exhibit,Field,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Parkdale,"(-37.9931563, 145.0763703)",22.21710314233742,"1,149,100",Cafe,Pizza Place,Fish & Chips Shop,Bar,Train Station,Trail,Bakery,Light Rail Station,Grocery Store,Gourmet Shop
Ascot Vale,"(-37.775316, 144.921849)",5.646481994438069,"1,145,900",Supermarket,Cafe,Gym,Department Store,Coffee Shop,Discount Store,Chinese Restaurant,Pizza Place,Shopping Mall,Fast Food Restaurant
North Melbourne,"(-37.8076092, 144.9423514)",1.9737725112222608,"1,144,400",Fast Food Restaurant,Pharmacy,Grocery Store,Portuguese Restaurant,Sandwich Place,Big Box Store,Bus Stop,Train Station,Gym,Mexican Restaurant
Oakleigh,"(-37.9066691, 145.11125843922275)",16.587418216150297,"1,139,900",Cafe,Steakhouse,Pizza Place,Sporting Goods Shop,Food Truck,Breakfast Spot,Spa,Burger Joint,Flower Shop,Fast Food Restaurant
Essendon North,"(-37.7384762, 144.9012027)",10.023325740442962,"1,139,000",Cafe,Furniture / Home Store,Italian Restaurant,Fast Food Restaurant,Boutique,Japanese Restaurant,Clothing Store,Electronics Store,Convenience Store,Greek Restaurant
Collingwood,"(-37.802104, 144.9881387)",2.577957335287958,"1,125,400",Park,Swim School,Pub,Zoo Exhibit,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Hughesdale,"(-37.894291, 145.0764309)",13.355154244125226,"1,120,000",Fast Food Restaurant,Supermarket,Hotel,Cafe,Shopping Mall,Burger Joint,Bowling Alley,Fried Chicken Joint,Gym,Convenience Store
Ashwood,"(-37.866672, 145.1022346)",13.55558223340224,"1,118,000",Golf Course,Grocery Store,Cafe,Zoo Exhibit,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Blackburn South,"(-37.8388322, 145.1487848)",16.568937139227778,"1,111,400",Train Station,Park,Cafe,Portuguese Restaurant,Gas Station,Bar,Sandwich Place,Zoo Exhibit,Fast Food Restaurant,Event Service
Docklands,"(-37.8175423, 144.9394923)",2.116467916544062,"1,110,000",Supermarket,Sandwich Place,Convenience Store,Fish & Chips Shop,Fast Food Restaurant,Cafe,Train Station,Pharmacy,Pizza Place,Grocery Store
