Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Frenchs Forest,Frenchs Forest  Australia,"1,588,200","(-33.7479954, 151.2292718)",11.907682532457153
Port Hacking,Port Hacking  Australia,"1,585,600","(-34.07353, 151.12613)",25.656299615690788
Dulwich Hill,Dulwich Hill  Australia,"1,579,400","(-33.9045849, 151.1386091)",9.07418343382108
Homebush,Homebush  Australia,"1,574,100","(-33.860451, 151.0806118)",12.586170851832971
Ashfield,Ashfield  Australia,"1,571,900","(-33.8894781, 151.1274125)",9.091367013960175
Ryde,Ryde  Australia,"1,568,000","(-33.801575099999994, 151.1046183940153)",11.918525888420255
Denistone East,Denistone East  Australia,"1,545,500","(-33.7962842, 151.0982887)",12.720446582890265
Caringbah South,Caringbah South  Australia,"1,544,000","(-34.0554491, 151.1205937)",23.95365169742746
Eastgardens,Eastgardens  Australia,"1,543,500","(-33.9447657, 151.2250921)",10.009245380223412
Killcare,Killcare  Australia,"1,542,500","(-33.5270751, 151.3621333)",38.78020803962881
Melrose Park,Melrose Park  Australia,"1,539,100","(-33.8153435, 151.0733298)",13.952707920506112
Cromer,Cromer  Australia,"1,536,100","(-33.7385227, 151.2762995)",14.03920694050074
Brighton-le-sands,Brighton-le-sands  Australia,"1,534,200","(-33.9580947, 151.1526052)",12.888177761451786
Pyrmont,Pyrmont  Australia,"1,529,000","(-33.8692145, 151.1923633)",2.742278396472674
Hardys Bay,Hardys Bay  Australia,"1,525,000","(-33.5269717, 151.3542799)",38.543463233826365
Chippendale,Chippendale  Australia,"1,519,900","(-33.8863291, 151.1998211)",3.8192466812913066
Redfern,Redfern  Australia,"1,519,800","(-33.8931044, 151.2040292)",4.39981282660005
Carss Park,Carss Park  Australia,"1,516,600","(-33.9869843, 151.1169446)",17.30877989581602
Hurstville Grove,Hurstville Grove  Australia,"1,514,600","(-33.9775526, 151.0929579)",17.769846150587423
Hurlstone Park,Hurlstone Park  Australia,"1,512,700","(-33.91, 151.1286111)",10.173858045207654
Ashbury,Ashbury  Australia,"1,512,500","(-33.9001107, 151.1180724)",10.396536375682157
Woolooware,Woolooware  Australia,"1,496,700","(-34.0448411, 151.1401717)",22.22612707808557
Denistone West,Denistone West  Australia,"1,489,000","(-33.8005739, 151.0767642)",14.262318180351686
Woolloomooloo,Woolloomooloo  Australia,"1,482,500","(-33.8718758, 151.2192218)",1.9095590345067923
Marrickville,Marrickville  Australia,"1,468,000","(-33.9103854, 151.1556908)",8.342150507783183
Enfield,Enfield  Australia,"1,467,700","(-33.8900628, 151.0959145)",11.81804033080257
Potts Hill,Potts Hill  Australia,"1,466,000","(-33.8922191, 151.0329222)",17.480103116323203
North Narrabeen,North Narrabeen  Australia,"1,464,100","(-33.70098, 151.2936426)",18.500520626697906
Newtown,Newtown  Australia,"1,460,500","(-33.8961132, 151.1801893)",5.678050551561233
Terrey Hills,Terrey Hills  Australia,"1,456,400","(-33.6918185, 151.2205908)",18.083432652032517
North Epping,North Epping  Australia,"1,449,400","(-33.7586111, 151.0941667)",15.558873471358535
Darlington,Darlington  Australia,"1,447,200","(-33.890862, 151.1932156)",4.539694688360683
Lewisham,Lewisham  Australia,"1,446,400","(-33.8953868, 151.1466449)",7.871869958808457
Earlwood,Earlwood  Australia,"1,446,200","(-33.9247222, 151.1313889)",11.047359330882015
Dolls Point,Dolls Point  Australia,"1,445,000","(-33.9936111, 151.1447222)",16.763354116581258
West Ryde,West Ryde  Australia,"1,444,200","(-33.8094444, 151.0858333)",13.096559795652745
Narraweena,Narraweena  Australia,"1,442,700","(-33.7502066, 151.2741566)",12.774257617624675
Daceyville,Daceyville  Australia,"1,439,800","(-33.9289328, 151.2251839)",8.260667086528551
Leichhardt,Leichhardt  Australia,"1,439,700","(-33.8819328, 151.155867)",6.361874173394978
Castle Hill,Castle Hill  Australia,"1,436,400","(-33.7315318, 151.0071718)",23.71966600099227
Cherrybrook,Cherrybrook  Australia,"1,429,900","(-33.7227778, 151.0461111)",21.526003720427408
Mays Hill,Mays Hill  Australia,"1,428,300","(-33.8205758, 150.9884915)",21.439291203568718
Erskineville,Erskineville  Australia,"1,422,800","(-33.9021718, 151.1859881)",5.961185894791948
Camperdown,Camperdown  Australia,"1,415,600","(-33.8896116, 151.1800986)",5.119638152421968
Warriewood,Warriewood  Australia,"1,414,000","(-33.690306, 151.2942716)",19.619302602776667
Arcadia,Arcadia  Australia,"1,412,500","(-33.6227289, 151.0605602)",29.518945010031608
Hurstville,Hurstville  Australia,"1,408,300","(-33.960707, 151.1003611)",15.913396919102466
Enmore,Enmore  Australia,"1,397,000","(-33.8996968, 151.170986)",6.517509661541276
Ramsgate,Ramsgate  Australia,"1,388,800","(-33.982713, 151.1399314)",15.853374178160493
Eastlakes,Eastlakes  Australia,"1,380,500","(-33.9310733, 151.2113667)",8.471606930601137
Minto Heights,Minto Heights  Australia,"1,378,300","(-34.0379407, 150.8715274)",37.80620457658885
Westleigh,Westleigh  Australia,"1,377,000","(-33.715, 151.0677778)",20.73917699203585
Croydon Park,Croydon Park  Australia,"1,363,200","(-33.8975316, 151.1024641)",11.561618721270325
Carlingford,Carlingford  Australia,"1,360,800","(-33.7744947, 151.0475215)",18.000020206092113
Pennant Hills,Pennant Hills  Australia,"1,354,900","(-33.7384663, 151.0716639)",18.609854477727577
Wagstaffe,Wagstaffe  Australia,"1,345,700","(-33.5228506, 151.3416957)",38.60825582407696
Gymea Bay,Gymea Bay  Australia,"1,345,200","(-34.0522918, 151.0970783)",24.526727886076344
Zetland,Zetland  Australia,"1,334,000","(-33.9076623, 151.2082183)",5.911065631135827
Homebush West,Homebush West  Australia,"1,332,500","(-33.8619802, 151.0665026)",13.898899003178744
Botany,Botany  Australia,"1,329,900","(-33.947829, 151.1990644)",10.441707891939263
Brookvale,Brookvale  Australia,"1,322,700","(-33.7628854, 151.2707024)",11.366829473786009
Kyeemagh,Kyeemagh  Australia,"1,318,300","(-33.9492195, 151.1607373)",11.670684171901474
Alfords Point,Alfords Point  Australia,"1,314,900","(-33.9839091, 151.0241615)",22.83036148825817
Grays Point,Grays Point  Australia,"1,306,000","(-34.0591451, 151.0786995)",25.99626869562648
Sylvania Waters,Sylvania Waters  Australia,"1,302,400","(-34.0185844, 151.11228)",20.560713491505414
Meadowbank,Meadowbank  Australia,"1,302,300","(-33.8174993, 151.0884249)",12.552639783194161
Vineyard,Vineyard  Australia,"1,300,000","(-33.6483333, 150.8677778)",39.60040778664113
Kurnell,Kurnell  Australia,"1,292,500","(-34.0222379, 151.1880555)",18.755356092362888
Como,Como  Australia,"1,291,100","(-34.0032179, 151.0631257)",21.724374186794787
Illawong,Illawong  Australia,"1,288,000","(-33.9973348, 151.0429726)",22.521427742964978
Normanhurst,Normanhurst  Australia,"1,287,000","(-33.7238649, 151.0977351)",18.216964770303125
Bonnet Bay,Bonnet Bay  Australia,"1,282,000","(-34.0101087, 151.053572)",22.8802257534079
Mascot,Mascot  Australia,"1,279,800","(-33.9289562, 151.1951782)",8.455906507375419
St Peters,St Peters  Australia,"1,274,900","(-33.9159472, 151.176332)",7.7300962167179526
Oyster Bay,Oyster Bay  Australia,"1,271,000","(-34.0032775, 151.0812354)",20.675894333776434
